Timestamp,Please select your gender:,Please enter your age:,Please specify your nationality:,"When you think about your childhood, do you recall music being played regularly at home? ","In case music was played at home, it was...",Do you have any experience playing a musical instrument or singing?,"In case you do, at what age did you start?",At what age did you stop?,Is someone within your parents or relatives an amateur or professional musician?,Do you generally think of your musical experience as positive or negative?,Do you generally recall your childhood as positive or negative?,"Think about your first musical memory, the very first memory which involves music of any kind. What comes to your mind? Take a minute to think about it.",Under which of these categories would you put this memory?,Please describe this memory of lullabies:,How old were you?,How would you rate the vividness of this memory?,How would you rate the mood associated with the particular memory? ,Please select any other attributes that describe the mood related to the memory better.,Please describe this memory:,How would you rate the vividness of this memory?,How would you rate the mood associated with the particular memory? ,Please select any other attributes that describe the mood related to the memory better.,Please describe this memory:,How old were you?,How would you rate the vividness of this memory?,How would you rate the mood associated with the particular memory? ,Please select any other attributes that describe the mood related to the memory better.,Please desribe this memory:,How old were you?,How would you rate the vividness of this memory?,How would you rate the mood associated with the particular memory? ,Please select any other attributes that describe the mood related to the memory better.,Please describe this memory:,How old were you?,How would you rate the vividness of this memory?,How would you rate the mood associated with the particular memory? ,Please select any other attributes that describe the mood related to the memory better.,Please describe this memory:,How old were you?,How would you rate the vividness of this memory?,How would you rate the mood associated with the particular memory? ,Please select any other attributes that describe the mood related to the memory better.,Please describe this memory:,How old were you?,How would you rate the vividness of this memory?,How would you rate the mood associated with the particular memory? ,Please select any other attributes that describe the mood related to the memory better.
11/17/2021 13:25:46,Male,23,Spain,Yes,records / CDs,Yes,5-8 years old,Above 18 years old,No,5,5,CDs being played in the car,Radio / CDs / records,I remember mom singing it before going to bed,3,4,5,"Loved, Hopeful, Touched, Joyful, Peaceful",Music being played in the car,4,5,"Hopeful, Joyful, Peaceful, Surprised",The Doraemon theme before going to school,3,4,5,"Relieved, Peaceful",My parents were in my first music lessons,5,5,4,"Hopeful, Joyful, Stressed, Tired",Clowns singing in a school event,5,3,5,"Hopeful, Touched, Joyful, Peaceful, Surprised",Taking my first lessons,5,4,4,"Hopeful, Touched, Joyful, Relieved, Peaceful, Stressed","Lots of kids playing, singing and dancing in the class",4,3,5,"Loved, Hopeful, Touched, Joyful, Relieved, Peaceful, Surprised"
11/17/2021 13:36:26,Male,23,Spain,Yes,records / CDs,No,,,Yes,4,5,Cd disco music from my parents,Radio / CDs / records,,,,,,Joyful,4,5,Loved,Great ,4,3,5,"Joyful, Relieved, Peaceful",Vivid,23,5,4,"Loved, Peaceful",Exciting,21,5,5,Relieved,Sad,7,5,2,"Infuriated, Rejected",,,,,
11/17/2021 14:10:03,Male,23,Spain,Yes,"records / CDs, someone playing an instrument / singing",Yes,5-8 years old,"I didn't stop, I still play music or sing",Yes,5,5,My father playing the guitar before sleeping (similar to when they read me a book to go to sleep).,Lullaby,My father used to play me musical pieces in the classical guitar (although most weren't actually lullabies but classical pieces that suited the purpose).,3 more or less the firsts? Don't remember. But he did it until I was 6 or so.,2,5,"Loved, Touched, Joyful, Peaceful, Melancholic","Being in the sofa of the living room listening to a part of the Firebird by Igor Stravinsky in our CD player. That I called ""the song of the fright"".",4,4,"Loved, Hopeful, Joyful, Surprised",Teletubbies song. Watching it with my grandmother.,3 more or less?,1,4,"Loved, Joyful, Peaceful","Since I've already described my first memory of music being performed by my family to me, I will explain my first memory of music being performed by me to my family: Showing my practice on the keyboard to my father in the storage room (where we kept the keyboard).",7,2,3,"Loved, Stressed, Infuriated",,,,,,already explained,,,,"Loved, Stressed, Infuriated",Reviewing my homework of musical theory and then practicing a new piece in the piano with my professor in the room with the good piano. I had classes before that but I can't recall.,8,1,4,"Hopeful, Relieved, Peaceful"
11/17/2021 15:26:51,Female,21,Spain,Yes,"radio / TV music, records / CDs, someone playing an instrument / singing",Yes,Less than 5 years old,"I didn't stop, I still play music or sing",Yes,4,4,My aunt playing the saxophone at my grandmother’s house when I was very little maybe 3 years old,Performance among relatives or friends (household),,2,2,3,Joyful,At my home when my mother did chores around the house,5,5,Joyful,The teletubbies theme song I could whatch this cartoon over and over when I was little,1 and a half or 2,3,5,Joyful,It’s the first memory that I’ve explained,2 or 3,4,3,Uncomfortable,My music school christmas carols on the streets of my town,5,4,4,"Joyful, Stressed",In my músic class playing diferent percussion instruments,4,4,4,Joyful,My first class I was nervous about being there for the first time alone but also excited,3,3,2,
11/17/2021 15:42:31,Female,24,Spain,Yes,"records / CDs, someone playing an instrument / singing",Yes,Less than 5 years old,13-18 years old,Yes,4,3,Learning the music figures with games at 4 age,A music class,My mother singing next to my bed,3,2,4,"Loved, Touched, Peaceful, Melancholic",Checking the vinils my father had at home,4,4,"Loved, Joyful, Surprised",Singing songs from cartoons,3,3,5,"Joyful, Relieved",Myself singing in music school Christmas annual performance,6,4,2,"Loved, Uncomfortable, Stressed","Local concert with my parents, playing multiple artists' songs by non-professional band",4,5,4,"Loved, Touched, Joyful, Surprised, Tired",Myself trying to choose among multiple instruments to choose the preferred one which would be the one i will play for next years,6,3,4,"Joyful, Surprised, Stressed","Learnings music sounds with different non-music tools, homemade instruments and others, with my class mates in childhood",5,2,5,"Hopeful, Joyful, Relieved, Surprised, Melancholic"
11/17/2021 19:17:36,Female,24,Spain,Yes,radio / TV music,Yes,5-8 years old,Above 18 years old,Yes,5,5,My aunt had a saxophone and I was afraid of it. I ended up playing the saxophone.,Performance among relatives or friends (household),,,1,4,Loved,My mum turning the radio on on the weekends while cooking/cleaning...,5,5,,"I watched the Jungle book movie a lot, and sing and dance the song",3-4?,5,5,Joyful,My aunt practising at home. I was afraid.,2-3,3,2,Uncomfortable,I watched live some OT1 singers,6,4,5,Joyful,Me trying to play the saxophone,5,4,4,"Touched, Joyful, Surprised",Can't remember,,,,
11/17/2021 19:31:26,Male,23,Spain,Yes,radio / TV music,No,,,Yes,4,4,A great moment,Radio / CDs / records,A pleasant moment,3,4,4,"Loved, Touched, Joyful, Peaceful",Intensive moments ,4,4,"Loved, Relieved, Surprised",Interesting and surprised,6,4,4,"Loved, Touched, Joyful, Relieved, Peaceful, Surprised","Different, more natural",18,4,4,"Hopeful, Joyful, Surprised",Intensive experience ,23,4,4,"Loved, Hopeful, Touched, Joyful, Relieved, Peaceful, Surprised",Too much pressure,12,3,3,"Uncomfortable, Stressed, Rejected",,,,,
11/17/2021 21:47:10,Female,22,Spain,Yes,"radio / TV music, records / CDs",Yes,5-8 years old,13-18 years old,No,4,4,Probably in a road trip by car.,Radio / CDs / records,I don't have memories listening lullabies,22,1,,,Listening in the car or at home while my parents were cooking or cleaning,5,5,"Loved, Hopeful, Touched, Joyful, Relieved, Peaceful",Sitting in the sofa with my family watching the TV,6,4,4,"Loved, Hopeful, Touched, Joyful, Relieved, Peaceful",Never,,,,,I don't remember my first musical event,Maybe 10-16,,,,Playing for school or high school music course,16,3,3,Stressed,"In primary school, we had to follow teacher's rhythm",6,3,3,"Stressed, Tired"
11/17/2021 22:52:13,Male,62,Spain,Yes,someone playing an instrument / singing,Yes,13-18 years old,13-18 years old,Yes,4,4,INFANCIA,Performance among relatives or friends (household),,4,2,3,Loved,ALEGRE,3,4,Joyful,VAGA,9,2,5,Surprised,NAVIDAD,8,2,4,Joyful,FIESTA MAYOR,15,2,5,Joyful,VAGA,14,2,3,,MUY VAGA,14,1,3,
11/18/2021 12:08:34,Male,21,India,Yes,radio / TV music,Yes,13-18 years old,"I didn't stop, I still play music or sing",Yes,4,3,"Singing an anime opening 24/7 for god knows how long, yes I sang all the instruments, quite pathetically if I may add",TV cartoons / shows / movies,,,,,,"If torrents are a part of this, AMAZING. all the music I want at my fingertips. I was bubbling.",3,5,"Joyful, Peaceful",Two words: ANIME INTROS,8,5,4,Melancholic,My dad singing,5? idk 3-4,2,3,,"METAL CONCERT, no mosh pit, -200000 points",13,4,3,"Surprised, Infuriated",Why is my pinky so fucking out of place,13,5,1,"Hopeful, Stressed, Infuriated, Rejected",,,,,
